,y,prob
32731,0,0.5049464921250283
1498,0,0.08569443245069343
17532,0,0.03915768275166142
8166,0,0.160867289427295
15495,0,0.14299012173880685
22652,0,0.14667621034205397
14581,0,0.07310153549575421
40635,1,0.7681922793575786
41864,0,0.5833620963308936
14405,0,0.09657756963584052
156,0,0.03646020173753259
6831,0,0.02286965972720719
27205,0,0.06024965442452086
7047,0,0.015069958616910937
17282,0,0.526558477887819
1390,0,0.15356385974024894
6085,0,0.031127154166434412
15668,0,0.16332524464861944
7586,0,0.06920339804370129
25988,0,0.3589367502731866
24704,0,0.9372203473792242
10832,0,0.251601270170057
8357,0,0.06522129380866
17267,0,0.16306165880541468
9239,0,0.2703097343699498
41657,0,0.9382928992069317
3917,0,0.08902741888657556
31613,0,0.2346944870084317
29173,0,0.2813662166535774
33606,0,0.4259003915947482
28191,0,0.9997975457332021
33325,0,0.1731226520611646
42783,1,0.45978914448740477
12879,0,0.20435212852062462
17967,0,0.14863980291751822
17842,0,0.2088316908151055
23015,0,0.2200247703875246
6059,0,0.09484217816409189
7981,0,0.04936831788691205
44594,0,0.9670877080217811
38283,0,0.09647842243420147
35032,0,0.1668893664115249
3543,0,0.09968215288111908
35349,0,0.282065802461342
31415,1,0.5257870768995299
23373,0,0.18709836729883136
33189,0,0.16460150332571594
28889,0,0.4507590476345123
36435,0,0.6142002246308983
12999,0,0.3179929537416706
20799,0,0.6348551134431215
11316,1,0.8860025907894454
36245,0,0.6317896057193576
33625,0,0.1560348532601818
43018,0,0.556202132155403
43964,0,0.9783315486806894
30380,0,0.9942236835434171
33790,1,0.30322666929106423
29777,0,0.196529686848201
8019,0,0.6231540583371934
17210,0,0.18676529077019038
19218,0,0.4388246715515041
15995,0,0.1809236709111447
25736,0,0.41671527450360407
8632,0,0.09047182452709455
27527,0,0.18984170615026486
21296,1,0.5917654942075121
36285,0,0.2438847268752619
357,0,0.32532396496361576
2920,0,0.06427494514751873
12812,0,0.23997744977234045
34349,0,0.22567175549093474
10176,0,0.27566063984862227
3325,0,0.12884593286057083
41415,0,0.2922498216383102
30550,0,0.2162306868453324
1545,0,0.06158162462180803
20677,0,0.28195579921808406
29620,0,0.24827007628257336
2744,0,0.2313102819893711
